Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	data-science	Data Scientist III	· Masters Degree· 4 + years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)	· PhD degree in Statistics, Applied Math, Economics, Computer Science, Machine Learning or a related quantitative field with at least 2 years of working experience as a Data Scientist· Experience using AWS technologies such as Redshift, S3, EMR and data pipelines and scaling models into production· Experienced in Machine Learning· Experience working with econometric models on causal impact questions· Experience in designing and analyzing large scale experiments	https://www.amazon.jobs/en/jobs/999308/data-scientist-iii
Amazon	data-science	Senior Data Engineer, Sustainability	· Bachelor's degree in , related field, or equivalent work experience· 5+ years of industry experience in software development, data engineering, business intelligence, data , or related field with a track record of manipulating, processing, and extracting value from large datasets· Proficient in R, or any other language for statistical computing· Self-driven with ability to deliver on ambiguous projects with incomplete or unstructured data.· Knowledge of professional software engineering practices and best practices for the full software development life cycle (SDLC), including coding standards, code reviews, source control management, build processes, testing, and operations· Experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.)· Knowledge of data management fundamentals and data storage principles· Knowledge of distributed systems as it pertains to data storage and computing· Hands-on experience and advanced knowledge of SQL· Able to work in a diverse team	· Excellent written and verbal communication skills with a proven ability to present complex technical information in a clear and concise manner to a variety of audiences· Experience developing and delivering on large-scale, cross-functional technical programs in support of business goals· Demonstrated focus on continuous improvement of systems, software, and processes through data analysis and metrics· Experience architecting a solution on top of Amazon Web Services (AWS)· Experience influencing software engineering best practices within your team, including coding standards, code reviews, source control management, build processes, testing, and operations· Experience mentoring junior software engineers to improve their skills, and making them more effective software engineers· Experienced driving ambiguous problem areas in existing or new software initiatives	https://www.amazon.jobs/en/jobs/990064/senior-data-engineer-sustainability
Amazon	data-science	Data Scientist	· Master’s or PhD degree in a quantitative field such as Machine Learning, Data Science, Statistics, Applied Mathematics, Physics, Computer Science, or Economics· Fluency in a scripting or computing language (e.g. Python, Scala, C++, Java, etc.)· 2+ years of relevant working experience in an analytical role involving data extraction, analysis, statistical modeling, and communication· 2+ years of experience with data querying languages (e.g. SQL, Hadoop/Hive)· Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of data from different product groups and business functions· Experience working with Machine Learning/Deep Learning for real world problems	· Expertise in reinforcement learning and/or deep learning· Natural curiosity and desire to learn, a passion for solving real world problems· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· Superior verbal and written communication skills with the ability to effectively advocate technical solutions to scientists, engineering teams and business audiences· Depth and breadth in quantitative knowledge. Excellent machine learning, statistical analysis and problem-solving skills	https://www.amazon.jobs/en/jobs/904513/data-scientist
Amazon	data-science	Data Engineer	· Degree in Computer Science, Engineering, Mathematics, or a related field or 5+ years industry experience· Data modeling and ETL development experience· Data Warehousing Experience with Oracle, Redshift, Teradata, etc.· Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)· Experience in functional programming languages (Scala, Python, Perl, etc.)· Query performance tuning skills using Unix profiling tools and SQL	· Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets.· Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets· Experience building data products incrementally and integrating and managing datasets from multiple sources· Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies· Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space· Linux/UNIX including to process large data sets.· Some experience leveraging SAS, R or matlab to manipulate data and set up automated processes as per business requirement· Strong ability to interact, communicate, present and influence within multiple levels of the organization· Excellent communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questions· A desire to work in a collaborative, intellectually curious environment.	https://www.amazon.jobs/en/jobs/897154/data-engineer
Amazon	data-science	Data Scientist	· Master’s Degree in any quantitative discipline such as Statistics, Mathematics, Quantitative Finance, computer science, or Operational Research· 4+ years of experience working in Analytics / Business Intelligence environment· 4+ years professional experience in modeling and statistical analysis of large data sets· Proven experience in working with databases and SQL in a business environment· Demonstrated use of analytical packages and query languages such as SAS, SPSS and SQL· Proven experience in design and execution of analytical projects· Demonstrated experience working in large scale data bases and data warehouses· Track record of developing and implementing models using programming and scripting (Java, Python, R, Ruby, C/C++, or Matlab)	· Experience/knowledge of advanced machine learning techniques such as GBM, random forest, etc.· Experience in e-commerce / on-line companies in fraud / risk control functions· Coding skills in one of the modern languages Java, Python, Scala, R· Experience with visualization technologies such as Tableau· Experience in statistical techniques such as classification, clustering, regression, statistical inference, collaborative filtering, and natural language processing, experimental design, social networking analysis, feature engineering, etc.· Compelling communication and influencing skills and participation in winning the support of management and influence the course of major strategic decisionsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation	https://www.amazon.jobs/en/jobs/887670/data-scientist
Amazon	data-science	Principal Data Scientist - Prime Video Personalization	· MSc in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· 7+ years of practical experience applying DS to solve complex problems;· Experience statistics packages such as R, SAS or Python;· SQL experience· Experience distilling informal customer requirements into problem definitions, dealing with ambiguity and competing objectives. Defining and identifying success· Strong fundamentals in problem solving· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts.	· 10+ years of practical experience applying DS to solve complex problems;	https://www.amazon.jobs/en/jobs/849581/principal-data-scientist-prime-video-personalization
Amazon	data-science	Data Scientist, AWS Training & Certification	· Bachelor’s degree in Mathematics, Computer Science, Technology, or a similar discipline with analytical bias· 3+ years of relevant work experience as a data scientist, statistician, or similar position requiring analysis, statistics, machine learning, and data science.· Proficient with mathematical programming libraries (e.g. R, Python)· 2+ years of experience writing SQL and working within databases (e.g. Redshift or similar)· Advanced proficiency with advanced data analytics· Experience with business intelligence and data visualization and reporting tools (e.g. Tableau)· Experience creating white papers and documents describing model output· Experience developing and managing data science platform and tools· Ability to perform root cause analysis to uncover issues within data· Ability to distill problem definitions, models, and constraints from informal business requirements	· Master’s degree or PhD in Mathematics, Computer Science, Technology, or a similar discipline with analytical bias· 5+ years of relevant work experience as a data scientist, statistician, or similar position requiring analysis, statistics, machine learning, and data science.· 3+ years of experience writing SQL· 2+ years of experience with Tableau Desktop· Expert proficiency with advanced data analytics· Experience forecasting large organizational goals and revenue· Experience modeling customer journey throughout multiple systems, websites, and products· Experience developing and managing data science platform and tools within AWS· Excellent communications skills including, presenting, editing, and writing as well as accuracy and attention to detail required.	https://www.amazon.jobs/en/jobs/1407535/data-scientist-aws-training-certification
Amazon	data-science	Data Scientist 	· Bachelor's Degree· 3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)· 2 years working as a Data Scientist	· Expertise in reinforcement learning and/or deep learning · Natural curiosity and desire to learn, a passion for solving real world problems · Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment · Superior verbal and written communication skills with the ability to effectively advocate technical solutions to scientists, engineering teams and business audiences · Depth and breadth in quantitative knowledge. Excellent machine learning, statistical analysis and problem-solving skills	https://www.amazon.jobs/en/jobs/1406791/data-scientist
Amazon	data-science	Manager, Data Science	· Masters in quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent)· Experience leading and launching ML projects.· 8+ years of work experience in areas such as data analytics, data modeling, machine learning, search or personalization- related problems, and large scale simulation.· Experience in managing and quantifying improvement in multiple business areas resulting from business analytics, optimization techniques, and/or statistical modeling.· Demonstrated use of modeling and optimization techniques tailored to meet engineering needs.· 3+ years of direct people management experience including duties such as performance evaluation and career development.· Experience as leader of a science team and developing junior members from academia/industry to a business environment· Knowledge of various machine learning techniques and key parameters that affect their performance· Knowledge of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.	· A PhD in a quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent)· Experience with spoken language understanding systems.· Demonstrated leadership abilities, especially with cross-disciplinary efforts.· Excellent written and verbal communication skills.· Project management experience.· Experience with data engineers or business analysts in Big Data analytics· A good understanding of analysis of algorithms and computational complexity· Expertise in prototyping and scripting languages (R, Perl or Python) with applications of efficient large-scale data analysis in a complicated system· Proficiency in one or more languages other than English.· Professional experience in software development (software design and development life cycle)	https://www.amazon.jobs/en/jobs/1405725/manager-data-science
Amazon	data-science	Data Engineer	· Bachelors degree in software engineering or a relevant quantitative discipline· Expert-level skills in writing and optimizing SQL· 2+ years development experience in python or similar scripting language for automation· 3-4+ years of work experience with ETL, Data Modeling, and Data Architecture with terabytes of data· 1+ years experience working with distributed computing and associated technologies such as Spark, EMR, etc.· 2+ years experience with Redshift. Tangible experience working with Redshift Spectrum, AWS Glue, and S3	· 5+ years of work experience with ETL, Data Modeling, and Data Architecture.· Experience or familiarity with newer AWS data and analytics tools such as AWS Lake Formation, Sagemaker, DynamoDB, Lambda, Kinesis, ElasticSearch· 2-3+ years experience working with core AWS data and analytics services. Understand of the applicability, limitations, and tradeoffs between a wide set of AWS database and analytics technologies.	https://www.amazon.jobs/en/jobs/1404070/data-engineer
