Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	human-resources	Technical Recruiter	· 3+ years of corporate and or search firm progressive recruiting experience including sourcing and full life cycle recruiting that includes:Experience building and utilizing a variety of sourcing plans and tools, including proactive phone and internet research.Contact Management System/Applicant Tracking System experience for sourcing, tracking and managing candidatesMS Office - including Word, Excel, PowerPoint and Outlook.Experience managing and prioritizing multiple searches, projects and client relationships.· Bachelor's degree or equivalent experience	· Strong commitment to continuous improvement.· Ability to proactively network and establish effective working relationships. Ability to continually seek new sourcing options, and develop creative approaches to sourcing and delivering candidates.· Strong communication skills, organizational and negotiation skills.· Ability to execute recruiting strategy, including employer promotion in the marketplace, candidate management, diversity sourcing, and interview process management.· Self-sufficient and able to work with little direct supervision.· Strong consulting skills and demonstrated ability to work in a team environment, as a team leader and member.· Possession of strong analytic skills with ability to create, measure, and scale the right workflow between candidates, hiring managers, and the recruiting team.· Experience recruiting in a highly competitive environment.· Possession of strong analytic skills with ability to create, measure, and scale the right workflow between candidates, hiring managers, and the recruiting team.· Meets/exceeds Amazon’s leadership principles requirements for this role Meets/exceeds Amazon’s functional/technical depth and complexity for this role	https://www.amazon.jobs/en/jobs/1412774/technical-recruiter
Amazon	human-resources	ES Tech, Web Development Engineer	· Bachelor’s degree.· 3 + years of experience web development· Experience in HTML, CSS, JavaScript, jQuery, JavaScript MVC concepts and frameworks· Proficiency in Javascript (ES6) and at least one other modern programming language (e.g C, C++, Java, Python)· Experience developing AJAX interfaces with AJAX libraries and frameworks (e.g. JQuery, AngularJS, and Backbone etc.)· Hands on front-end UI frameworks like Bootstrap, Foundation, etc.· Experience with development and build tools Node.js, npm, grunt, gulp, webpack, bower etc.· Web services development experience with cross platform open source APIs and integration technologies like XML, JSON, SOAP/REST API development· Knowledge of third-party integration tool, middleware integrations and ETL· Design and architecture knowledge as well as familiarity with object oriented analysis and design patterns (OOA/OOD) and data structure	· Degree in Computer Science, Software Engineering, MIS or related field.· Development experience in Salesforce Platform· Understanding of key SFDC design and architectural concepts.· Understanding and implementation experience in mobile development frameworks· Understanding of data structures, data modeling and database schema.· Development experience in AJAX, JAVA, T-SQL/PL-SQL and MySQL.· Familiarity with security concepts (authentication, authorization, encryption, digital signature, SSL, web service proxies, firewall, SAML 2.0, OAuth 2.0).· Knowledge and understanding of HR business processes.· Professional experience in a test-driven and formal QA development environment, including development/staging/production (or similar) deployment cycles.· Experience working in an Agile/Scrum environment.· Demonstrated success in implementing at least two full life cycle SFDC implementation.· Ability to work in a fast-paced and changing environment.	https://www.amazon.jobs/en/jobs/1412701/es-tech-web-development-engineer
Amazon	human-resources	Data Engineer II	· 3+ years of experience as a Data Engineer or in a similar role· Experience with data modeling, data warehousing, and building ETL pipelines· Experience in SQL· 3+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets· Experience with data modeling, data warehousing, and building ETL pipelines· Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline· Proficiency in SQL and at least one modern programming language such as Python, Perl, Ruby, or Java.· Experience using business intelligence reporting tools such as Tableau, or Quick Sight.	· 5+ years of experience as a Data Engineer, BI Engineer, Business/Financial Analyst or Systems Analyst in a company with large, complex data sources· Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets. 2 years of experience using JavaScript, CSS3, HTML5 or other web technologies· Experience providing technical leadership and mentoring other engineers for best practices on data engineering· Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations	https://www.amazon.jobs/en/jobs/1411989/data-engineer-ii
Amazon	human-resources	Global Expansions Measurement & Reporting Manager	Basic QualificationsBA degree from an accredited university3+ years’ experience with program or project management3+ experience creating business reporting and insights3+ years’ experience working cross functionally with tech and non-tech teamsPrevious experience implementing mechanismsAbility to visualize data and provide business insightsExcel expertise and the ability to mentor others	Preferred Qualifications / CompetenciesMBA/MS degree mathematics, computer science, statistics, supply chain, or relevant experienceSuperior attention to detailStrategic planning, design thinkingAbility to apply context to make decisions in a dynamic, ambiguous environmentData warehousing with databases such as Oracle, Redshift, Teradata, etc.Ability meet tight deadlines and prioritize workloadsStatistical and root cause analysisPassion for developing new ideas and creative solutionsAbility to travel as needed up to 25% domestic and internationally (Post Covid Restrictions)	https://www.amazon.jobs/en/jobs/1411880/global-expansions-measurement-reporting-manager
Amazon	human-resources	Mgr, Content Strategist & Developer 	· 2+ years leading a team of editors, technical writers, or other content experts· 5+ years of professional technical or editorial writing experience· Project management experience· Familiarity with Chicago Manual of Style and/or other style guides· Experience working multi-site, multi-language content management system like Adobe Experience Manager (AEM), Sitecore, Drupal, Alfresco, OpenText, etc.· Experience working in a cross-functional team· Bachelor’s Degree in business or a related field	· Experience influencing or implementing a CMS information architecture· UX design or writing experience· Translation and localization knowledge and/or experience· Experience working in a cross-functional team· Ability to multitask in a fast-paced, technical environment· Proficiency in Microsoft Office applications· Experience with document authoring tools· Experience creating content with visual elements· Exceptional writing and editing skills	https://www.amazon.jobs/en/jobs/1411691/mgr-content-strategist-developer
Amazon	human-resources	Senior Executive Recruiter, Amazon Web Services	· 7+ years of progressive corporate and/or search firm recruiting experience with a focus on executive level candidate generation in a complex and competitive market· 5+ years of experience advising and influencing executive leadership· Bachelor’s degree or equivalent work experience	· Executive recruiting experience in either a blue-chip, global in-house executive search team, or a top executive search firm· Hires and develops great people· Relentlessly high standards· Thinks strategically and stays on top of tactical execution· Expects and requires innovation of their team· Results oriented· Has the innate ability to inspire passion in others	https://www.amazon.jobs/en/jobs/1411120/senior-executive-recruiter-amazon-web-services
Amazon	human-resources	Recruiting Coordinator, AWS	· Bachelor’s degree or equivalent work experience· 1+ years of recruiting coordinator, admin or HR experience· Experience with MS Word, Excel, Outlook and SharePoint· 	· Excellent PC skills including Microsoft office and Calendar management tools.· Possess the ability to multitask, prioritize and complete a high volume of tasks and projects with little to no guidance.· Have exceptional verbal and written communications skills and the ability to switch gears at a moment’s notice.· Demonstrate excellent judgment, discretion and sensitivity· Maintain a high degree of professionalism in dealing with senior professionals inside and outside the company.· Make smart and timely decisions; understand when to take ownership of a decision and when to involve other parties.· React with appropriate levels of urgency to situations and events that require quick response or turnaround.· Think ahead and troubleshoot; remove obstacles before they become problems with a skill of impeccable attention to detail.· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this role· Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411081/recruiting-coordinator-aws
Amazon	human-resources	Recruiting Coordinator, AWS	· Bachelor’s degree or equivalent work experience· 1+ years of recruiting coordinator, admin or HR experience· Experience with MS Word, Excel, Outlook and SharePoint· 	· Excellent PC skills including Microsoft office and Calendar management tools.· Possess the ability to multitask, prioritize and complete a high volume of tasks and projects with little to no guidance.· Have exceptional verbal and written communications skills and the ability to switch gears at a moment’s notice.· Demonstrate excellent judgment, discretion and sensitivity· Maintain a high degree of professionalism in dealing with senior professionals inside and outside the company.· Make smart and timely decisions; understand when to take ownership of a decision and when to involve other parties.· React with appropriate levels of urgency to situations and events that require quick response or turnaround.· Think ahead and troubleshoot; remove obstacles before they become problems with a skill of impeccable attention to detail.· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this role· Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411078/recruiting-coordinator-aws
Amazon	human-resources	Recruiting Coordinator	· Basic Qualifications· 1+ years of recruiting coordinator or HR experience· Experience with MS Word, Excel and Power Point	Preferred Qualifications· Superb customer focus, attention to detail and organization skills· Strong oral and written communication skills· Ability to work in a fast paced, quickly changing environment· Bachelor’s degree	https://www.amazon.jobs/en/jobs/1409724/recruiting-coordinator
Amazon	human-resources	Talent Management Leader, Americas Consumer	· 10 + years of HR experience in a fast-paced environment.· 10 + years managing high-performing teams.· Bachelor’s degree in Human Resources Management, Organizational Development, Industrial/Organizational Psychology and/or an MBA highly preferred.	· A strong portfolio of work demonstrating skills and breadth of work across multiple HR disciplines.· Ability to work in a highly ambiguous environment and interest in supporting a global team across multiple time zones.· Ability to figure things out without a road map, transform organizations, as well as break the mold in terms of ways to re-frame and solve problems.· Possess a high level of integrity, judgment, and discretion in handling confidential information.Ability to handle responsibilities independently, while exercising good judgment in problem solving and keeping team members adequately informed.· Strong ability to analyze data to solve complex business problems.· Ability to influence and collaborate with different levels of the organization to achieve results.· Ability to work efficiently and accurately in time sensitive matters and organized to manage and track multiple priorities simultaneously – grace under pressure and the ability to switch gears at a moment’s notice.· Passionate about cultivating talent and their ability to achieve greatness.· Excellent written and verbal skills as well as prioritization and planning skills – with strong attention to detail.· To be successful, the person in this role will need to demonstrate analytical capabilities, a process improvement mentality and ability to influence others with data-driven recommendations.· Confidence in dealing with senior level staff and ability to communicate in a crisp, concise, and professional manner.· Master’s degree in Human Resources Management, Organizational Development, Industrial/Organizational Psychology and/or an MBA highly preferred.· Experience with leading organizational design efforts.· HR Project Management experience with experience in scoping, leading and delivering complex projects. The right candidate will have a track record of project management from conception and design through implementation, measurement and continuous improvement.· Knowledge of program management lifecycle and project management tools.· Understands the features and detailed functional requirements of the work, as well as the end user’s/customer’s needs.	https://www.amazon.jobs/en/jobs/1409520/talent-management-leader-americas-consumer
