Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	machine-learning-science	Sr. Applied Scientist	· MS in Computer Science or similar field and strong knowledge of machine learning.· 5+ years of relevant experience in industry and/or academia OR PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related quantitative field and strong knowledge of machine learning.· 3+ years of experience programming with an object-oriented language (Python, C++, Java.· Familiarity with a broad set of supervised and unsupervised ML approaches and techniques ranging from Regression to Deep Neural Networks.· Proven track record of successfully applying ML-based solutions to complex problems in business, science, or engineering.	· PhD in Computer Science, strong knowledge of machine learning, and· 5+ years of relevant experience in industry and/or academia OR PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related quantitative field and strong knowledge of machine learning.· Experience with fast prototyping.· Experience working effectively with software engineering teams.· Publications at top-tier peer-reviewed conferences or journals.· Depth and breadth in state-of-the-art NLP, Text based Deep learning technologies.· Good written and spoken communication skills.· Experience with modern methods for parallelized processing of large, distributed datasets (e.g. Spark, Hadoop, Map-Reduce).	https://www.amazon.jobs/en/jobs/984566/sr-applied-scientist
Amazon	machine-learning-science	Sr. Applied Scientist	· MSc. in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related quantitative field and strong knowledge of machine learning.· 5+ years of relevant ML research experience in industry and/or academia.· Fluency in at least one programming language (C++, Java, or similar) and one scripting language (Perl, Python, or similar).· Familiarity with a broad set of supervised and unsupervised ML approaches and techniques ranging from Regression to Deep Neural Networks.· Proven track record of successfully applying ML-based solutions to complex problems in business, science, or engineering.	· PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related quantitative field and strong knowledge of machine learning.· 5+ years of relevant ML research experience in industry and/or academia.· Experience with fast prototyping.· Experience working effectively with software engineering teams.· Publications at top-tier peer-reviewed conferences or journals.· Depth and breadth in state-of-the-art NLP and deep learning techniques.· Good written and spoken communication skills.· Experience with modern methods for parallelized processing of large, distributed datasets (e.g. Spark, Hadoop, Map-Reduce).	https://www.amazon.jobs/en/jobs/969572/sr-applied-scientist
Amazon	machine-learning-science	Senior Data Scientist	· Quantitative Master’s degree; such as Computer Science, Computer Engineering, Machine Learning, Statistics, Mathematics, etc· 4 years industry experience in applying Computer Science, Computer Engineering, Machine Learning, Statistics or related technical discipline.· Expert knowledge with a scripting language (e.g. Python) and with a object-oriented language (e.g. C++, Java).· Proficiency in the development, validation, implementation, and production launch of machine-learning algorithms and models.· A passion for implementing coding best practices across a team.· Deep appreciation for diversity of thought and a proponent for collaborative solutions.· Ability to communicate technical concepts and solutions at a level appropriate for technical and non-technical audiences.	In addition to those in basic qualifications, we would love to talk to you if you have any of the following:· Ph.D. in quantitative field such as, Computer Science, Computer Engineering, Machine Learning, Statistics, Mathematics, etc· Experience with processing, analyzing, and modeling with GPS and/or weather data· Experience with agile/scrum methodologies and its benefits of keeping scientists on track and iteratively delivering results.· Experience with big data: extraction, processing, filtering, and presenting large data quantities (100K to Millions of rows) via AWS technologies, SQL, and data pipelines· Familiarity with utilizing a clustered distributed-data processing tool such as Hadoop, Spark, Dask, Map-reduce, and Hive· Familiarity with Logistics/Supply Chain, or related Businesses.· Background in experimental design	https://www.amazon.jobs/en/jobs/950893/senior-data-scientist
Amazon	machine-learning-science	Applied Scientist	· Masters in quantitative discipline, e.g. Mathematics, Statistics, Operations Research, Artificial Intelligence· 3+ years’ experience in business analytics, forecasting or business planning with emphasis on analytical modeling, quantitative reasoning and metrics reporting preferably from an internet environment· 3+ years of hands on experience with statistical software tools: SAS, SPSS, Strata, R, Python or Matlab· Experience in machine learning and statistical techniques such as classification, clustering, regression, statistical inference, collaborative filtering, and natural language processing, experimental design, social networking analysis, feature engineering etc.· Demonstrate understanding and experience with relational data sets, data warehouses, data mining and data analysis techniquesAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation	· A PhD in CS, Machine Learning, Statistics, Operations Research, Artificial Intelligence· 4+ years of industry experience in predictive modeling and analysis· Compelling communication and influencing skills and participation in winning the support of management and influence the course of major strategic decisions· Experience in e-commerce / on-line companies in fraud / risk control functions	https://www.amazon.jobs/en/jobs/949911/applied-scientist
Amazon	machine-learning-science	Principal Applied Scientist, Machine Learning	· PhD in Machine Learning, Computer Science, or related disciplines.· A minimum of 10 years of experience delivering top quality machine learning solutions, with strong analytical and problem-solving skills.· Experience with online advertising products.· Excellent written and verbal communications skills in English.· Expert in machine learning, statistics, and experiment design.· Expert in taking machine learning solutions into production at big scale· Expereince hiring and building teams of applied scientists.	· Exhibits excellent judgment.· Hires great people. Develops great people.· Has relentlessly high standards.· Expects, enables and requires innovation of all teams.· Thinks big and has convictions.· Delivers results..	https://www.amazon.jobs/en/jobs/949391/principal-applied-scientist-machine-learning
Amazon	machine-learning-science	Principal Applied Scientist	· MS in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related quantitative field and strong knowledge of machine learning.· 3+ years of relevant experience in industry and/or academia.· 1+ years of experience with a programming language (C++, Java, or similar) and one scripting language (Perl, Python, or similar).· 1+ years supervised and unsupervised ML approaches and techniques ranging from Regression to Deep Neural Networks.· 1+ years of successfully applying ML-based solutions to complex problems in business, science, or engineering.· 1+ years with fast prototyping.· 1+ years working effectively with software engineering teams.	· PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related quantitative field and strong knowledge of machine learning.· 10+ years of relevant experience in industry and/or academia.· Publications at top-tier peer-reviewed conferences or journals.· Depth and breadth in state-of-the-art computer vision and machine learning technologies.· Good written and spoken communication skills.· Experience with modern methods for parallelized processing of large, distributed datasets (e.g. Spark, Hadoop, Map-Reduce).* Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation	https://www.amazon.jobs/en/jobs/945382/principal-applied-scientist
Amazon	machine-learning-science	Senior Machine Learning Scientist, Amazon Alexa AI	· Master's degree in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning· 1+ years experience with programming languages such as C/C++, Java, Perl or Python· 5+ years experience in building natural language processing systems	· PhD in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning· 8+ years experience in building natural language processing systems· Solid ML background and familiar with standard NLU and ML techniques· Experience with PySpark for big data processing, analysis and ML· Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field· Solid software development experience· Good written and spoken communication skills	https://www.amazon.jobs/en/jobs/927509/senior-machine-learning-scientist-amazon-alexa-ai
Amazon	machine-learning-science	Applied Scientist	· M.S. or Ph.D. in Computer Science, Information Retrieval, Machine Learning, Statistics, Applied Mathematics, Natural Language Processing, or related discipline.· Breadth and depth knowledge of machine learning algorithms and best practices.· At least 2 years of hands-on experience in building Machine Learning solutions to solve real-world problems.· At least 2 years of experience with computer science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.· At least 2 years of experience with Java, Python, Scala, or C++.	· Ph.D. in quantitative field with a strong Machine Learning background.· Experience in building large-scale machine-learning models for online recommendation, ads ranking, personalization, or search, etc.· Experience with Big Data technologies such as AWS, Hadoop, Spark, Pig, Hive, Lucene/SOLR or Storm/Samza.	https://www.amazon.jobs/en/jobs/888001/applied-scientist
Amazon	machine-learning-science	Principal Applied Scientist	· Bachelor’s degree in Engineering, Computer science, Math, Statistics, Economics or related field· 8+ years of experience in software development, business intelligence, big data analytics, statistical methods and machine learning techniques in products or services businesses· 5+ years of experience leading 5+ people analytical teams· Excellent customer intuition and demonstrated success in identifying and prioritizing business questions, and using quantitative techniques using available data to deliver solutions to address these questions· Strong data analysis, problem solving skills, strategic thinking, attention to detail and bias for delivering results· Expertise in deriving insights from big data analyses to solve business and technical problems· Strong interpersonal and communication skills, along with ability to explain complex technical concepts and analysis implications clearly across different audiences and varying levels of the organization	· Masters or PhD degree in Engineering, Computer Science, Math, Statistics, Economics or related field· 10+ years of data analytics and machine learning experience in products or services businesses· Ability to operate in a fast-paced environment and manage multiple competing priorities· Demonstrated track record of cultivating strong working relationships and driving collaboration across multiple technical and business teams· Ability to think innovatively and creatively about ambiguous technical and business problems· Prior experience leading teams of Data Scientists, Data Engineers, Software Engineers and Analysts· Expertise in customer segmentation and customer behavior analysis· Experience in Machine learning (decision trees, multivariate and logistic regression, kNN, kMeans, deep learning, etc.).· Experience with data visualization software such as Tableau, QuickSight, and statistical analyses tools such as R, Python, SAS or similar· Experience writing scripts to manipulate data or automate data pipelines· Strong record of leading international teams, and working with partners internationally	https://www.amazon.jobs/en/jobs/884102/principal-applied-scientist
Amazon	machine-learning-science	Principal Applied Scientist - Machine Learning	· Ph.D. in Machine Learning, Statistics, Applied Mathematics, Computer Science or a related field with publications in preferred academic journals· 10+ years of experience in solving complicated machine learning problems· Solid Machine Learning background and familiar with standard machine learning and statistical learning techniques.· Hands-on experience using Java, C++, or other programming language, as well as with R, Python or similar scripting language· Demonstrated ability to serve as a technical lead· Excellent writing skills for presenting business cases and to document the models and analysis and present the results/conclusions in order to influence important decisions	· Deep knowledge of probabilistic machine learning· Experience with deep learning toolkits and frameworks· Expert in more than one more major programming languages (C++, Java, or similar) and at least one scripting language (Perl, Python, or similar)· Solid software development experience· Algorithm and model development experience for large-scale applications· Strong fundamentals in problem solving, algorithm design and complexity analysis· Strong personal interest in learning, researching, and creating new technologies with high customer impact· Experience with defining research and development practices in an applied environment· Professional traits that are not unique to this position, but necessary for Amazon leaders: Exhibits excellent judgment; Has relentlessly high standards; Thinks strategically, but stays on top of tactical execution; Expects and requires innovation of her/his team; Thinks big and has convictions; Results oriented; Has the innate ability to inspire passion in others· Excellent communication skills, both written and oral with both technical and business people. Ability to speak at a level appropriate for the audience. Experience applying these skills in both academic teaching environment and a business setting is a plus	https://www.amazon.jobs/en/jobs/882293/principal-applied-scientist-machine-learning
