Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	marketing-pr	Catalog Specialist, Interior Design	· 2+ years’ experience in interior design, architecture, retail furniture design / product marketing· Bachelor's degree in an associated discipline	· Experience working with customers for residential design projects· Actively follow trends, news, social media and influencers in, and affecting, interior design· Knowledge of project management methodology, including the ability to identify and resolve issues, manage risk and allocate resources· Ability to deal with ambiguous problems and build solutions with proper project management· Aptitude for being organized with flexibility and for delivering results in a fast-paced environment· Proven track record of developing high quality interior design rooms and renders· Relentless customer focus· Strong analytical skills and the ability to deep dive on complex problems· Track record of cross-functional team leadership and ability to influence· Ability to manage multiple simultaneous projects requiring frequent communication, organization/time management and problem solving skillsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1413704/catalog-specialist-interior-design
Amazon	marketing-pr	Catalog Specialist, Interior Design	· 2+ years’ experience in interior design, architecture, retail furniture design / product marketing· Bachelor's degree in an associated discipline	· Experience working with customers for residential design projects· Actively follow trends, news, social media and influencers in, and affecting, interior design· Knowledge of project management methodology, including the ability to identify and resolve issues, manage risk and allocate resources· Ability to deal with ambiguous problems and build solutions with proper project management· Aptitude for being organized with flexibility and for delivering results in a fast-paced environment· Proven track record of developing high quality interior design rooms and renders· Relentless customer focus· Strong analytical skills and the ability to deep dive on complex problems· Track record of cross-functional team leadership and ability to influence· Ability to manage multiple simultaneous projects requiring frequent communication, organization/time management and problem solving skillsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1413695/catalog-specialist-interior-design
Amazon	marketing-pr	Sr. Program Manager, Small Business Experiences	· Minimum of 5 years of professional experience in event management and project management, with a focus on operational excellence in event logistics.· Minimum of 5 years of professional experience managing vendor relationships and budgets· Recent work experience in virtual marketing events leveraging experiential event technology solutions· Demonstrated time management, resource management, and planning experience· Passionate about process and an innate attention to detail· Experience managing competing priorities simultaneously and drive projects to completion· Experience working independently and autonomously	· Bachelor’s degree or higher in a relevant field· Experience working in a fast-paced, highly cross-functional organization· Experience working with global event marketing teams· Experience working with industry tools and platforms, such as Bizzabo, SalesForce, Cvent, and HTMLAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1413216/sr-program-manager-small-business-experiences
Amazon	marketing-pr	Sr. Product Marketing Manager - AWS AI Services	· 7+ years of relevant work experience in fields such as technical marketing, technical pre-sales, consulting, training, or product marketing/management· 5+ years demonstrated track record in crafting positioning and marketing content· A Bachelor’s degree in marketing, business, technology, or relevant field of study such as computer science OR 7+ years relevant industry experience in marketing of technical products· Demonstrated ability in launching and growing innovative technology products	· Familiarity with machine learning subject matter· Deep experience in crafting compelling positioning and marketing content· A career path that demonstrates increasing levels of responsibility and a knack for driving and/or being associated with benchmark industry products/services· Ability to easily transition from high level strategic thinking to creative and detailed execution· Experience working in a fast-paced and highly cross-functional organization	https://www.amazon.jobs/en/jobs/1413165/sr-product-marketing-manager-aws-ai-services
Amazon	marketing-pr	Sr. Product Marketing Manager - AWS AI Services	· 7+ years of relevant work experience in fields such as technical marketing, technical pre-sales, consulting, training, or product marketing/management· 5+ years demonstrated track record in crafting positioning and marketing content· A Bachelor’s degree in marketing, business, technology, or relevant field of study such as computer science OR 7+ years relevant industry experience in marketing of technical products· Demonstrated ability in launching and growing innovative technology products	· Familiarity with machine learning subject matter· Deep experience in crafting compelling positioning and marketing content· A career path that demonstrates increasing levels of responsibility and a knack for driving and/or being associated with benchmark industry products/services· Ability to easily transition from high level strategic thinking to creative and detailed execution· Experience working in a fast-paced and highly cross-functional organization	https://www.amazon.jobs/en/jobs/1413164/sr-product-marketing-manager-aws-ai-services
Amazon	marketing-pr	Sr. Product Marketing Manager	· 7+ years of relevant work experience in fields such as technical marketing, technical pre-sales, consulting, training, or product marketing/management· 5+ years demonstrated track record in crafting positioning and marketing content· A Bachelor’s degree in marketing, business, technology, or relevant field of study such as computer science OR 7+ years relevant industry experience in marketing of technical products· Demonstrated ability in launching and growing innovative technology products	· MBA and/or computer science, engineering, technology background· 5+ years experience in storage product marketing· Experience with cloud and data center infrastructure technologies	https://www.amazon.jobs/en/jobs/1413163/sr-product-marketing-manager
Amazon	marketing-pr	Principal Product Marketing Manager	· 10+ years of relevant work experience in fields such as technical marketing, technical pre-sales, consulting, training, or product marketing/management· 7+ years demonstrated track record in crafting positioning and marketing content and owning direction of portfolio messaging and all assets for launching & growing innovative technology products· A Bachelor’s degree in marketing, business, technology, or relevant field of study such as computer science OR 7+ years relevant industry experience in marketing of technical products	· Experience in the contact center industry· Ability to navigate complex negotiation processes and commercial/legal contract structures with demanding F1000 enterprises; financial acumen to craft ROI based customer proposals· Ability to tell innovative and compelling stories· Experience with leading teams through the design thinking innovation process	https://www.amazon.jobs/en/jobs/1413100/principal-product-marketing-manager
Amazon	marketing-pr	Product Marketing Manager, Honeycode	· 7+ years of relevant work experience in fields such as technical marketing, technical pre-sales, consulting, training, or product marketing/management· 5+ years demonstrated track record in crafting positioning and marketing content· A Bachelor’s degree in marketing, business, technology, or relevant field of study such as computer science OR 7+ years relevant industry experience in marketing of technical products· Demonstrated ability in launching and growing innovative technology products	· MBA and/or computer science, engineering, technology background· 5+ years experience in product marketing for services targeting end users· Experience with cloud and data center infrastructure technologies	https://www.amazon.jobs/en/jobs/1413099/product-marketing-manager-honeycode
Amazon	marketing-pr	Sr. Product Marketing Manager, Security	· 7+ years of relevant work experience in fields such as technical marketing, technical pre-sales, consulting, training, or product marketing/management· 5+ years demonstrated track record in crafting positioning and marketing content· A Bachelor’s degree in marketing, business, technology, or relevant field of study such as computer science OR 7+ years relevant industry experience in marketing of technical products· Demonstrated ability in launching and growing innovative technology products	· MBA and/or computer science, engineering, technology background is preferred· 10+ years of experience with security and/or identity and access management (IAM) technologies· Experience marketing cloud services for IT infrastructure· Demonstrated ability in launching and growing innovative technology products· Experience presenting to senior leadership to drive consensus and articulating program recommendations and tradeoffsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1413064/sr-product-marketing-manager-security
Amazon	marketing-pr	Head, Brand and Cross-Category Marketing	· Bachelor’s degree· 10+ years of experience in business, marketing or a related field.	· Advanced degree in Business, Marketing or related field.· Strategic leadership of teams through periods of high growth, dynamic market conditions and early-stage ambiguity, similar to what you would experience in a start-up.· Strong track record of development and experimentation with new and emerging marketing channels.· Success in developing novel approaches to engage a diverse range of customers.· Effective leadership of a consumer marketing team responsible for a global brand development, creative development, go to market strategy and cross-category campaigning.· Evident success in delivering marketing campaigns that break new creative ground, engage memorably and deliver business impact.· Acumen at interpretation of detailed marketing data.· Demonstrated ability to work effectively with a range of senior marketing, creative, product and business leaders to deliver unprecedented results.· Ability to work on a diverse team or with a diverse range of coworkers.	https://www.amazon.jobs/en/jobs/1411139/head-brand-and-cross-category-marketing
