Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	project-program-product-management-non-tech	Sr. Program Manager, Brand Protection	· Bachelor’s degree· 7+ years of successful program or product management experience in relevant industries· Demonstrated success in exceeding targets using a consultative, solutions-focused approach· Proven experience in complex program management and leveraging data metrics to represent a value proposition· Demonstrated experienced in communication and presentation skills and the ability to express thoughts logically and succinctly	· Over 10 years of program management experience with at least 4 years of consistently delivering projects on time, while exceeding expectations.· MBA· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this role	https://www.amazon.jobs/en/jobs/968659/sr-program-manager-brand-protection
Amazon	project-program-product-management-non-tech	Senior Manager, Product Management	10+ years of experience, with at least 7 years of product management in building consumer & technology productsPost-graduate in Business or Tech (MBA, MS)Experience defining market and product requirements, working with engineering organizations to rapidly deliver high-impact capabilities to marketExceptional written and verbal communication skills with the ability to create compelling positioning/messaging strategy and present complex information clearly and conciselyStrong analytical and quantitative skills with the ability to use data and metrics to justify requirements, featuresHigh attention to detail and proven ability to manage multiple, competing priorities simultaneously with minimal supervisionStrong team management skills with experience in hiring and developing top talentExcellent inter-team working skills to develop strong partnership with partner, tech team and operating at leadership levels	10+ years of experience, with at least 7 years of product management in building consumer & technology productsPost-graduate in Business or Tech (MBA, MS)Experience defining market and product requirements, working with engineering organizations to rapidly deliver high-impact capabilities to marketExceptional written and verbal communication skills with the ability to create compelling positioning/messaging strategy and present complex information clearly and conciselyStrong analytical and quantitative skills with the ability to use data and metrics to justify requirements, featuresHigh attention to detail and proven ability to manage multiple, competing priorities simultaneously with minimal supervisionStrong team management skills with experience in hiring and developing top talentExcellent inter-team working skills to develop strong partnership with partner, tech team and operating at leadership levels	https://www.amazon.jobs/en/jobs/953285/senior-manager-product-management
Amazon	project-program-product-management-non-tech	Sr. Risk Manager, Dangerous Goods Policy	· Must possess a bachelor’s degree in Engineering, Mathematics, Operations/Supply Chain, Organizational Behavior, or other relevant field from an accredited university.· 6+ years of professional experience in Transportation management, Supply chain, Regulatory or other related field.· Must possess a high degree of fluency in written and verbal communication skills with a proven ability to present complex information in a clear and concise manner to a variety of audiences, including senior leadership.· Exposure with process documentation for ex “Process mapping” and standard operating procedures or other technical documents.· A demonstrated track record of asking the right questions to deeply understand a situation, options/benefits/risks.· Demonstrated ability to manage multiple projects including prioritization, planning and task delegation across teams while delivering results.	· Policy & Technical writing experience.· Dangerous goods, Compliance, and/or project management experience.· Experience with Six Sigma/Lean or Project Management. Black Belt or PMP certification.	https://www.amazon.jobs/en/jobs/936675/sr-risk-manager-dangerous-goods-policy
Amazon	project-program-product-management-non-tech	Senior Product Manager Technical	· BS or BA in computer science, engineering, math, finance, or economics· 5+ years of product management or consulting experience in technology focused business· Team orientation and willingness to roll up sleeves to solve complex, dynamic challenges· Strong relationships building skills; experience managing stakeholders and partners to drive cross functional programs· Ability to provide architectural guidance and direction, strong judgment especially relevant in balancing long term strategic investments with near term business goals· Ability to communicate clearly and effectively with different functional groups, developers, business owners, and senior business leaders· Ability to collaborate with and effectively influence remote teams in multiple time zones	· MBA from a leading business school· 5+ years of product management experience· Prior experience managing technical products or online services· Entrepreneurial spirit, with track record for delivering results in fast-moving and demanding environments· History of developing business strategy in conjunction with senior leadership	https://www.amazon.jobs/en/jobs/903674/senior-product-manager-technical
Amazon	project-program-product-management-non-tech	Sr. Product Manager, Marketing Automation	· Experience with feature delivery and tradeoffs of a product· Bachelor's Degree· 6+ years of experience in product management, program management, or product marketing· Experience with end to end product delivery· Experience overseeing roadmap strategy and definition· Strong understanding of Agile development processes and best practices· Excellent executive communication skills	· 7 years of previous Product Management, Agile Product Owner, or Business Owner experience· Working familiarity with CRM solutions, ad operations, and/or ad serving technologies.	https://www.amazon.jobs/en/jobs/825958/sr-product-manager-marketing-automation
Amazon	project-program-product-management-non-tech	Senior Manager, Seller Fees	· Bachelor’s degree in business, engineering or statistics (or related equivalent experience)· 10+ years professional experience solving complex quantitative business challenges in a Consulting, Pricing, or Business Strategy function.· 2+ years leading teams· Superior verbal/written communication & data presentation skills, including an ability to influence business/technical senior executives.· Ability to juggle multiple priorities and make things happen in a fast-paced, dynamic environment; strong bias for action.· Demonstrated ability to articulate complex concepts to cross-functional audiences.· Experience in data modeling and analytics	· MBA/Master’s/Ph.D degree.· Experience in the development of business/pricing strategy.· Experience operating in a highly matrixed organization, influencing partners in order to deliver results.	https://www.amazon.jobs/en/jobs/745173/senior-manager-seller-fees
Amazon	project-program-product-management-non-tech	Software Development Engineer II	Primary Requirements: Bachelor's degree in Computer Science, Computer or Electrical Engineering, Mathematics or a related field and 2 years of experience in the job offered or related experience as a Software Engineer, Software Developer, or related.	All applicants must meet all the above listed requirements.	https://www.amazon.jobs/en/jobs/589562/software-development-engineer-ii
Amazon	project-program-product-management-non-tech	Senior Policy Manager, Perfect Order Experience	· Bachelor's degree· 5+ years in a policy, risk management, or program management role· Excellent written and verbal communication skills with the ability to present information clearly and concisely to senior leaders· Proven experience applying top-tier critical thinking skills to develop new policies and drive policy/process improvements at a global scale· Experience driving complex projects involving multiple stakeholders· Demonstrated ability to identify, mitigate, and manage business risks and tradeoffs in a high-pressure environment· Proven track record of delivering projects within scope, time, budget and quality· Impeccable attention to detail; ability to balance this with the need to achieve immediate results	· Advanced degree in a relevant field (i.e. MBA, JD, MA, Public Policy, etc.)· Experience with product liability and insurance industry.· Experience in a fast-paced retail, e-commerce, or startup role, including in legal, IP protection, counterfeit protection, investigations, claims, and abuse roles· Proven ability to work autonomously, triage and prioritize work, and operate in ambiguity· Experience writing and briefing senior leadership in a manner that addresses highly technical and complex topics in an easy-to-understand manner· Proven analytical skills and comfort in deriving insights from quantitative data; experience creating new quantitative metrics and success measures	https://www.amazon.jobs/en/jobs/1413653/senior-policy-manager-perfect-order-experience
Amazon	project-program-product-management-non-tech	Program Manager, Merchandising - Amazon Fresh Grocery 	· Bachelor’s degree or 3+ years of professional or military experience· 3+ years of experience using Microsoft Excel· Bachelor's degree in business or related field· 3-5 years of relevant work experience in merchandising, space optimization, and/or store planning.· 3-5 years of relevant work experience in marketing or customer experience roles requiring data analysis, process improvements, creative problem solving, and cross-functional collaboration· Experience in business roles requiring data analysis, process improvements, creative problem solving, and cross-functional collaboration.· High attention to detail and proven ability to manage multiple, competing priorities simultaneously.· Excellent communication (verbal and written), interpersonal skills, and an ability to effectively communicate with both business and technical teams.· Proficiency in Excel.· Passionate and knowledgeable about customer behavior.	· Familiarity with databases and SQL.· Ability to analyze data quantitatively and use customer research, data and metrics to back up assumptions, identify opportunities, and assess the efficacy of merchandising programs.· Experience creating and/or improving operational processes across teams/stakeholders· Proven track record of taking ownership and driving results.· Comfortable with a varied set of software and editing tools. Ability to learn new tools quickly.	https://www.amazon.jobs/en/jobs/1413605/program-manager-merchandising-amazon-fresh-grocery
Amazon	project-program-product-management-non-tech	Product Development Manager, Audio and Entertainment Products, HPB NA	· 5+ years in product management/ product development/ global sourcing / project management is required.· Bachelor’s degree in Business, Marketing, Engineering, or Global Supply Chain· Proficient in Excel and SQL.	· 5+ years as development lead or a technical lead in consumer products, or experienced program managers with technical acumen.· Exceptional written and oral communication abilities.· Strong analytic skills with experience using qualitative and quantitative to develop product strategies.· Understanding principles of project management or program management· Experience working with cross-functional teams such as supply chain, sourcing, QA, etc.· Technical capacity to understand and write product specifications· Experience in process improvements preferredAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1413574/product-development-manager-audio-and-entertainment-products-hpb-na
