Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	project-program-product-management-technical	Sr. Product Manager, Publisher Trust	Bachelor’s degree or higher with a technical discipline· 5+ years of professional experience with 2+ years of consumer/enterprise facing product management experience· Experience working with cross-functional teams to deliver products and projects on tight deadlines· Experience coordinating product development cycles and software development schedules	· MBA· Demonstrated track record of delivering large, cross-functional, complex customer facing products· Experience working on agile enabled teams.· Ability to thrive in a fast-paced environment where tactical and strategic initiatives are driven in parallel.· Extreme curiosity, a bias for action, and appetite for learning and growth· Demonstrated ability to engage and influence people and teams at every level in the organization· Strong verbal/written communication and data presentation skills, including an ability to effectively communicate with both business and technical teams· Experience in managing or delivering products in security domain would be a plus (not a must requirement)· Prior experience working in a software engineering discipline would be a plus (not a must requirement)· Demonstrated track record of creative problem solving; thinks big, starts small, grows fast	https://www.amazon.jobs/en/jobs/998403/sr-product-manager-publisher-trust
Amazon	project-program-product-management-technical	Senior Product Manager, Technical - Kids Edition Tablet	Basic Qualifications:· Bachelor’s degree or higher with a technical discipline· 5+ years of consumer facing product management experience· Experience working on a software as a service product or other on-demand software· Experience leading cross-functional teams to deliver products and projects on tight deadlines· Proven track record of delivering initiatives from conception through completion on time, within budget, and on or beyond scope· Experience working with engineering teams to define, scope and prioritize product requirements· Strong verbal and written communication skills with demonstrated experience engaging and influencing executive staff	Preferred Qualifications:· Passion for digital media and the mobile space· Experience working on Android, iOS or other mobile applications is a plus· Experience working on products with a hardware component· Strong analytical and quantitative skills while the ability to use data and metrics to back up assumptions, recommendations, and drive actions· Demonstrated ability to understand and discuss technical concepts, manage tradeoffs and evaluate opportunistic new ideas with internal and external partners· MBA or Master’s degree	https://www.amazon.jobs/en/jobs/995921/senior-product-manager-technical-kids-edition-tablet
Amazon	project-program-product-management-technical	Technical Program Manager	Basic Qualifications:· 4-5+ years of product management experience in a related industry· Bachelor's degree in Engineering, Computer Science or related technical field· Experience identifying business opportunities, building a product strategy, and influencing deliver against a multi-year roadmap· Understands core technologies utilized in their product domain and is fluent in pros and cons of technical alternatives· Drives alignment and coherent product feature, business, and evangelism strategies· Ability to handle multiple competing priorities in a fast-paced environment· Strong leadership, project planning and execution skills· Ability to communicate clearly with technical and non-technical stakeholders at all levels	Preferred Qualifications:· MBA preferred· Cloud management experience· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy· Excellent oral and written communication skills	https://www.amazon.jobs/en/jobs/960978/technical-program-manager
Amazon	project-program-product-management-technical	Technical Program Manager III	· Bachelor degree with a technical discipline, or equivalent experience required.· 7+ years of relevant work experience in technical program / project management in a mobile consumer electronics environment.· Experience with mobile application development, frameworks or distributed systems (cloud/server platform) engineering teams· Experience defining projects, collecting requirements, writing detailed functional and test specifications, coordinating efforts to scope, schedule, and deploy new features sets.· Experience analyzing cost/benefit of feature selection.· Experience with agile software development methodologies.	· MBA or advanced technical degree desired.· Ideal candidate is a creative leader with superior analytical abilities.· Excellent technical, problem-solving, and communication skills.· Cross-team coordination and executive presentation skills are essential.· Product development / engineering experienced desired.· Knowledge of hardware development process and lifecycle is a plus.	https://www.amazon.jobs/en/jobs/955326/technical-program-manager-iii
Amazon	project-program-product-management-technical	Technical Program Manager	· Experience managing projects across cross functional teams, building sustainable processes and coordinating release schedules· 7+ years of relevant engineering experience· 5+ years of technical program management experience• Bachelor’s Degree in Computer Science or related field• Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis• Proficiency in, at least, one modern programming language such as C, C++, C#, Java, or Perl	· 1+ year of MySQL or similar database experience· Strong sense of ownership, urgency, and drive· Strong knowledge of data structures, algorithms, and designing for performance, scalability, and availability· Experience with UI frameworks such as Spring MVC, GWT, jQuery, Swing, etc.· Experience with Amazon Web Services· 3+ years of experience in software development and full product life-cycles	https://www.amazon.jobs/en/jobs/954259/technical-program-manager
Amazon	project-program-product-management-technical	Technical Program Manager	* Computer Science fundamentals in object-oriented design* Computer Science fundamentals in data structures* Computer Science fundamentals in algorithm design, problem solving, and complexity analysis* Proficiency in at least one modern programming language such as Java, C#, C++ and a scripting language such as JavaScript, or Perl* Bachelor’s Degree in Computer Science or related field and 3+ years experience	* Ability to communicate effectively with both technical and non-technical individuals.* Excellent oral and written communication skills* Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects	https://www.amazon.jobs/en/jobs/946853/technical-program-manager
Amazon	project-program-product-management-technical	Technical Program Manager 	· Computer Science fundamentals in object-oriented design· · Computer Science fundamentals in data structures· · Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· · Proficiency in at least one modern programming language such as Java, C#, C++ and a scripting language such as JavaScript, or Perl· · Bachelor’s Degree in Computer Science or related field and 3+ years experience	· Strong, object-oriented design and coding skills (C/C++ and/or Java preferably on a UNIX or Linux platform)· · Experience with distributed (multi-tiered) systems and algorithms· · Ability to effectively articulate technical challenges and solutions· · Deal well with ambiguous/undefined problems; ability to think abstractly	https://www.amazon.jobs/en/jobs/946841/technical-program-manager
Amazon	project-program-product-management-technical	Principal Technical Program Manager - Last Mile Initiatives 	· 10+ years of Technical Program Management experience with related technologies, including managing significant cross functional projects in mid-size or large companies· 5+ years hands-on experience building software solutions within current industry standard technologies· 4+ years’ experience leading dev teams to design/architect business software solutions· Bachelor's degree in Engineering, Computer Science or related technical field or equivalent experience· A first-hand working knowledge of current web development technologies and service oriented architecture· Advanced knowledge of business applications such as Microsoft Word, Excel and Project· Excellent oral and written communication skills, as well as the ability to think clearly, analyze quantitatively, problem-solve, scope technical requirements and prioritize tasks· Strong business and technical vision· Ability to handle multiple competing priorities in a fast-paced environment· A deep understanding of software development in a team, and a track record of shipping software on time· Exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions	· PMP or Project Management Certification· Master’s in Business Administration· 3+ years of coding experience in Any programming language· Familiarity with building large scale solutions across many integrated and distributed systems, with great availability, performance, and security#lastmileAmazon is an Equal Opportunity-Affirmative Action Employer - Female/Minority/Disability/Veteran/Gender Identity/Sexual Orientation	https://www.amazon.jobs/en/jobs/902649/principal-technical-program-manager-last-mile-initiatives
Amazon	project-program-product-management-technical	Sr. Technical Program Manager	· Bachelor's degree in computer science, electrical engineering or a related technical discipline· 5+ years of relevant work experience in internet-related programs and/or technical program management in a software applications environment· Experience communicating with technical and non-technical stakeholders at all levels across multiple business units· Experience working with external technology partners and enterprise customers· Experience building processes, project management, and release schedules	· Experience designing internet-scale public APIs· Experience building solutions for home networks, IoT device and cloud systems, or home/industrial control systems· Experience defining and championing best practices across a software team· High degree of comfort presenting to senior management, business stakeholders, and external partners· Experience with video streaming or Smart Home technology· Ability to establish and manage your business to a set of key metrics and goals· Raw intellectual curiosity and a drive to create the new standards at the cutting edge of Smart Home solutions· Entrepreneurial spirit and a passion for having fun	https://www.amazon.jobs/en/jobs/896533/sr-technical-program-manager
Amazon	project-program-product-management-technical	Principal Technical Program Manager	· Experience managing projects across cross functional teams, building sustainable processes and coordinating release schedules· 10+ years of relevant engineering experience· 7+ years of technical program management experience· Strong analytical, project management and organizational skills· Strong technical background, preferably in software engineering· Excellent verbal and written communication abilities: must effectively communicate with technical and non-technical people· Willingness to roll up your sleeves and do whatever is necessary; owner mentality and an entrepreneurial drive; demonstrated ability to have fun and inspire team	· Passionate about generating big, creative ideas to differentiate in the market, growing the business and working with advertisers and their partners to build innovative products· Analytical and able to create sound business arguments backed up by data· Ability to lead and influence across different organizations and align diverse teams to a common goal· Handle multiple contending priorities in an energizing environment· Willing to think and act both strategically and tactically	https://www.amazon.jobs/en/jobs/893204/principal-technical-program-manager
