Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	software-development	Front End Engineer	· Bachelor’s degree in Computer Science, Computer Engineering, related field or equivalent industry experience.· 2+ years industry experience as a software development engineer, web development engineer, front end engineer or similar· 1+ year experience building web applications using modern JavaScript frameworks	· Actively practicing professional software engineering best practices for the full software development life-cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Experience using modern JavaScript tooling like React, Redux, Webpack and ES6· Self-directed, demonstrate leadership potential and a team player· Proficiency in testing front-end applications and automated browser testing· Experience with AWS technologies like Lambda, EC2, S3, Kibana and others· Practical experience with engineering best practices· Excellent written and oral communication skills· Demonstrated leadership abilities in an engineering environment in driving operational excellence and best practices.· Ability to work in a fast paced and agile development environment· Strong customer focus, ownership, urgency and drive· Passion for developing products which provide a great customer experience	https://www.amazon.jobs/en/jobs/998241/front-end-engineer
Amazon	software-development	Software Development Engineer	· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· 2+ years of non-internship professional software development experienceCompleted BS in Computer Science or equivalent · 3+ years of experience building successful production software platforms and systems · 3+ years of hands-on experience in Java or C++ as well as other high-level languages such as Objective-C and Python · Computer Science fundamentals in algorithm design, problem solving, and complexity analysis · Experience developing cloud software services and an understanding of design for scalability, performance and reliability.	Master's Degree in Computer Science or related field · Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations · Ability to take a project from scoping requirements through actual launch of the project · Experience building complex software systems that have been successfully delivered to customers · Demonstrated leadership abilities in an engineering environment in driving operational excellence and best practices.	https://www.amazon.jobs/en/jobs/997309/software-development-engineer
Amazon	software-development	Senior Software Dev Engineer	· 4+ years of professional software development experience· 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems	· 6+ years experience building high scale distributed systems that handle big amounts of data· Strong knowledge of data structures, algorithms, and designing for performance, scalability, availability, and internet and OS security fundamentals· Demonstrated ability to mentor other software developers in all aspects of their engineering skillsets· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, product strategy and influence outcomes in technical decision-making· Experience using Amazon Web Services· Track record of building and delivering mission critical, 24x7 production software systems· Strong sense of ownership, urgency, and drive.** For more information on Amazon Web Services, please visit http://aws.amazon.com **	https://www.amazon.jobs/en/jobs/996246/senior-software-dev-engineer
Amazon	software-development	Senior Technical Program Manager - Alexa Identity	· BS in Computer Science or related field.· 8+ years professional experience in software development designing software solutions .· 5+ years of experience in technical program management leading programs and using Agile methodologies and delivering systems (e.g. scoping requirements, planning deliverables, writing functional and test specs, communicating complex technical problems, managing scope, deploying new software features and running multiple concurrent programs or projects)· Experience providing technical system design and architectural guidance throughout the project lifecycle· Experience translating business strategy and operating plans for new businesses into technology· Experience communicating to cross-functional stakeholders at all leadership levels· Experience building software systems· Experience with business applications such as Word, Excel and Project	· Master’s degree in Computer Science, Computer Engineering or related technical discipline.· Experience managing efforts in distributed systems and/or developing large scale enterprise software solutions.· Excellent presentation and communication skills with the ability to present complex technical information in a clear and concise manner to executives and non-technical leaders.· Ability to fully engage with and influence technical and non-technical business teams, effectively manage expectations and resolve conflicts that balance customer and company needs.· Demonstrated ability to self-motivate and get stuff done in highly matrixed organization.· Ability to handle multiple, challenging priorities in a rapidly changing environment.	https://www.amazon.jobs/en/jobs/994387/senior-technical-program-manager-alexa-identity
Amazon	software-development	Software Development Engineer	· Bachelor’s Degree in Computer Science or related field· Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education· 5+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Knowledge of, at least, one modern programming language such as C++, C#, Java, or Perl	· Experience taking a leading role in building complex software systems that have been successfully delivered to customers.· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Experience with distributed computing and enterprise-wide systems· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy· Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers· Experience influencing software engineers best practices within your team· Hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between	https://www.amazon.jobs/en/jobs/992170/software-development-engineer
Amazon	software-development	Software Development Engineer	· 2+ years of non-internship professional software development experience· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· Bachelor’s Degree in Computer Science or related field· Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis	· 5+ years of professional relevant experience in the software development space.· Masters degree in Computer Science, Math or Physics or a related field· Experience building software systems that have been successfully delivered to customers· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Experience in databases, analytics, big data systems or business intelligence products· Experience with building high-performance, highly-available and scalable distributed systems.· Experience in the advertising or search industries· Deep hands-on technical expertise, excellent verbal and written communication skills· Experience with Agile software development techniques.	https://www.amazon.jobs/en/jobs/992124/software-development-engineer
Amazon	software-development	Software Development Engineer	· 2+ years of non-internship professional software development experience.· Programming experience with at least one modern language such as Java, C++, or C#.· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· Bachelor's degree in Computer Science or 8+ years of equivalent professional or military experience.	· MS in Computer Science or equivalent industry experience· 4+ years of relevant industry experience· Successful track record of mentoring and growing junior SDE's.	https://www.amazon.jobs/en/jobs/990532/software-development-engineer
Amazon	software-development	Software Development Engineer II	· Bachelor's Degree in Computer Science with advanced degrees preferred.· · Experience building complex software systems that have been successfully delivered to customers· · 2+ years of relevant work experience in software development, including design, implementation, debugging, and support· · Deep technical expertise and hands-on architectural understanding of cloud-scale distributed and service-oriented architectures.· · Has delivered large-scale commercial enterprise software systems or large scale online services· · Solid programming skills in and a deep understanding of object oriented design.· · Excellent verbal and written communication	· Master’s degree and/or PhD preferred in mathematics, computer science, or related discipline· · Experience in building and driving adoption of new tools· · A deep understanding of software development life cycle and a good track record of shipping software on time· · Have had impact and influence across multiple teams· · Expertise with data science, machine learning algorithms, natural language processing, computer vision.· · Experience designing and implementing information retrieval and web mining systems.· - Experience with MapReduce, Spark, Hive and .· · Advanced knowledge of data structures and at ease in optimizing algorithms.· · Knowledge of Linux/Unix and scripting on Perl//.	https://www.amazon.jobs/en/jobs/990519/software-development-engineer-ii
Amazon	software-development	Software Development Engineer	· 2+ years of non-internship professional software development experience· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· Bachelor’s Degree in Computer Science or similar discipline· Computer Science fundamentals in object-oriented design, design patterns, data structures, algorithm design, problem solving, and complexity analysis· 2+ years relevant work experience· Proficiency in, at least, one modern programming language such as Java (preferred), Objective C or C++· Experience building highly trafficked, compelling user experience	· Graduate degree· Experience with multi-tier distributed systems, SOA, big data· Ability to effectively articulate technical challenges and solutions· Deal well with ambiguous/undefined problems; ability to think abstractly· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsWe offer excellent pay and generous stock plans, great benefits including medical, dental, vision, 401k with matching, and more. Relocation is available for qualified candidates.	https://www.amazon.jobs/en/jobs/990078/software-development-engineer
Amazon	software-development	Software Development Engineer	· A Bachelor’s degree in Computer Science or equivalent· 3+ years of Software Development experience· Strong coding skills and experience with Object-Oriented development· Experience building scalable distributed systems	· Technical experience and interest in optimization problems· Background in math and modeling· Experience with routing algorithms and transportation systems and software· Solid fundamentals in algorithms and data structures· Experience building highly scalable, highly available distributed systems· Experience with Relational or NoSQL databases	https://www.amazon.jobs/en/jobs/989669/software-development-engineer
